school,division,latitude_school,longitude_school,season,wins_rolling_2year,games_played_rolling_2year,post_season_wins_rolling_2year,point_diff_rolling_2year,win_pct_rolling_2year
Bowling Green,,41.3780114,-83.6225,2015.0,18.0,28.0,1.0,216.0,0.7142857142857143
Bowling Green,,41.3780114,-83.6225,2016.0,18.0,28.0,1.0,137.0,0.3333333333333333
Bowling Green,,41.3780114,-83.6225,2017.0,14.0,26.0,0.0,24.0,0.16666666666666666
Bowling Green,,41.3780114,-83.6225,2018.0,6.0,24.0,0.0,-314.0,0.25
Bowling Green,,41.3780114,-83.6225,2019.0,5.0,24.0,0.0,-340.0,0.25
Bowling Green,,41.3780114,-83.6225,2020.0,6.0,24.0,0.0,-459.0,0.0
Bowling Green,,41.3780114,-83.6225,2021.0,3.0,17.0,0.0,-439.0,0.3333333333333333
Bowling Green,,41.3780114,-83.6225,2022.0,4.0,17.0,0.0,-279.0,0.46153846153846156
Bowling Green,,41.3780114,-83.6225,2023.0,10.0,25.0,0.0,-229.0,0.5384615384615384
Bowling Green,,41.3780114,-83.6225,2024.0,13.0,26.0,0.0,-90.0,0.08333333333333333
Buffalo,,42.9991334,-78.7775113,2010.0,,,,,0.16666666666666666
Buffalo,,42.9991334,-78.7775113,2011.0,,,,,0.25
Buffalo,,42.9991334,-78.7775113,2012.0,5.0,24.0,0.0,-251.0,0.3333333333333333
Buffalo,,42.9991334,-78.7775113,2013.0,7.0,24.0,0.0,-174.0,0.6153846153846154
Buffalo,,42.9991334,-78.7775113,2014.0,12.0,25.0,0.0,-10.0,0.45454545454545453
Buffalo,,42.9991334,-78.7775113,2015.0,13.0,24.0,0.0,85.0,0.4166666666666667
Buffalo,,42.9991334,-78.7775113,2016.0,10.0,23.0,0.0,-3.0,0.16666666666666666
Buffalo,,42.9991334,-78.7775113,2017.0,7.0,24.0,0.0,-201.0,0.5
Buffalo,,42.9991334,-78.7775113,2018.0,8.0,24.0,0.0,-146.0,0.7142857142857143
Buffalo,,42.9991334,-78.7775113,2019.0,16.0,26.0,0.0,165.0,0.6153846153846154
Buffalo,,42.9991334,-78.7775113,2020.0,18.0,27.0,1.0,253.0,0.8571428571428571
Buffalo,,42.9991334,-78.7775113,2021.0,14.0,20.0,2.0,283.0,0.3333333333333333
Buffalo,,42.9991334,-78.7775113,2022.0,10.0,19.0,1.0,143.0,0.5384615384615384
Buffalo,,42.9991334,-78.7775113,2023.0,11.0,25.0,1.0,16.0,0.25
Buffalo,,42.9991334,-78.7775113,2024.0,10.0,25.0,1.0,-54.0,0.08333333333333333
BYU,,40.2575347,-111.6545247,2010.0,,,,,0.5384615384615384
BYU,,40.2575347,-111.6545247,2011.0,,,,,0.7692307692307693
BYU,,40.2575347,-111.6545247,2012.0,17.0,26.0,2.0,185.0,0.6153846153846154
BYU,,40.2575347,-111.6545247,2013.0,18.0,26.0,2.0,317.0,0.6153846153846154
BYU,,40.2575347,-111.6545247,2014.0,16.0,26.0,1.0,296.0,0.6153846153846154
BYU,,40.2575347,-111.6545247,2015.0,16.0,26.0,0.0,229.0,0.6923076923076923
BYU,,40.2575347,-111.6545247,2016.0,17.0,26.0,0.0,265.0,0.6923076923076923
BYU,,40.2575347,-111.6545247,2017.0,18.0,26.0,1.0,271.0,0.3076923076923077
BYU,,40.2575347,-111.6545247,2018.0,13.0,26.0,1.0,31.0,0.5384615384615384
BYU,,40.2575347,-111.6545247,2019.0,11.0,26.0,1.0,-23.0,0.5384615384615384
BYU,,40.2575347,-111.6545247,2020.0,14.0,26.0,1.0,115.0,0.9166666666666666
BYU,,40.2575347,-111.6545247,2021.0,18.0,25.0,1.0,377.0,0.7692307692307693
BYU,,40.2575347,-111.6545247,2022.0,21.0,25.0,1.0,446.0,0.6153846153846154
BYU,,40.2575347,-111.6545247,2023.0,18.0,26.0,1.0,132.0,0.4166666666666667
BYU,,40.2575347,-111.6545247,2024.0,13.0,25.0,1.0,-57.0,0.16666666666666666
California,,37.8710434,-122.2507729,2010.0,,,,,0.4166666666666667
California,,37.8710434,-122.2507729,2011.0,,,,,0.5384615384615384
California,,37.8710434,-122.2507729,2012.0,12.0,25.0,0.0,93.0,0.25
California,,37.8710434,-122.2507729,2013.0,10.0,25.0,0.0,-67.0,0.08333333333333333
California,,37.8710434,-122.2507729,2014.0,4.0,24.0,0.0,-396.0,0.4166666666666667
California,,37.8710434,-122.2507729,2015.0,6.0,24.0,0.0,-293.0,0.6153846153846154
California,,37.8710434,-122.2507729,2016.0,13.0,25.0,1.0,76.0,0.4166666666666667
California,,37.8710434,-122.2507729,2017.0,13.0,25.0,1.0,28.0,0.4166666666666667
California,,37.8710434,-122.2507729,2018.0,10.0,24.0,0.0,-74.0,0.5384615384615384
California,,37.8710434,-122.2507729,2019.0,12.0,25.0,0.0,14.0,0.6153846153846154
California,,37.8710434,-122.2507729,2020.0,15.0,26.0,1.0,13.0,0.25
California,,37.8710434,-122.2507729,2021.0,9.0,17.0,1.0,-34.0,0.4166666666666667
California,,37.8710434,-122.2507729,2022.0,6.0,16.0,0.0,-7.0,0.3333333333333333
California,,37.8710434,-122.2507729,2023.0,9.0,24.0,0.0,-29.0,0.46153846153846156
California,,37.8710434,-122.2507729,2024.0,10.0,25.0,0.0,-80.0,0.16666666666666666
Central Michigan,,43.5777313,-84.7709904,2010.0,,,,,0.25
Central Michigan,,43.5777313,-84.7709904,2011.0,,,,,0.25
Central Michigan,,43.5777313,-84.7709904,2012.0,6.0,24.0,0.0,-148.0,0.5384615384615384
Central Michigan,,43.5777313,-84.7709904,2013.0,10.0,25.0,1.0,-175.0,0.5
Central Michigan,,43.5777313,-84.7709904,2014.0,13.0,25.0,1.0,-110.0,0.5384615384615384
Central Michigan,,43.5777313,-84.7709904,2015.0,13.0,25.0,0.0,-41.0,0.5384615384615384
Central Michigan,,43.5777313,-84.7709904,2016.0,14.0,26.0,0.0,73.0,0.46153846153846156
Central Michigan,,43.5777313,-84.7709904,2017.0,13.0,26.0,0.0,-2.0,0.6153846153846154
Central Michigan,,43.5777313,-84.7709904,2018.0,14.0,26.0,0.0,-40.0,0.08333333333333333
Central Michigan,,43.5777313,-84.7709904,2019.0,9.0,25.0,0.0,-136.0,0.5714285714285714
Central Michigan,,43.5777313,-84.7709904,2020.0,9.0,26.0,0.0,-118.0,0.5
Central Michigan,,43.5777313,-84.7709904,2021.0,11.0,20.0,0.0,37.0,0.6923076923076923
Central Michigan,,43.5777313,-84.7709904,2022.0,12.0,19.0,1.0,92.0,0.3333333333333333
Central Michigan,,43.5777313,-84.7709904,2023.0,13.0,25.0,1.0,44.0,0.4166666666666667
Central Michigan,,43.5777313,-84.7709904,2024.0,9.0,24.0,0.0,-136.0,0.08333333333333333
Charlotte,,35.3105033,-80.7401194,2013.0,,,,,0.45454545454545453
Charlotte,,35.3105033,-80.7401194,2014.0,,,,,0.4166666666666667
Charlotte,,35.3105033,-80.7401194,2015.0,10.0,23.0,0.0,47.0,0.16666666666666666
Charlotte,,35.3105033,-80.7401194,2016.0,7.0,24.0,0.0,-202.0,0.3333333333333333
Charlotte,,35.3105033,-80.7401194,2017.0,6.0,24.0,0.0,-338.0,0.08333333333333333
Charlotte,,35.3105033,-80.7401194,2018.0,5.0,24.0,0.0,-336.0,0.4166666666666667
