,name,athlete_id,committed_to,side_of_ball,position_group,state_province,hometown_country,height,weight,distance_miles,k_means_cluster,k_means_pca1,k_means_pca2,k_means_distance_to_centroid
4366,Barry Higdon,-1012911.0,Hawai'i,defense,d_backfield,FL,USA,74.0,185.0,4853.199579425288,0,-1.3521809258992572,7.864539414539734,5.17061710005202
21036,Akalea Kapono,,Navy,defense,linebacker,HI,USA,73.0,212.0,4855.552069447497,0,-1.2130186269653398,7.890442992371014,5.141019950348377
19879,Tausili Fiatoa,,Navy,defense,linebacker,HI,USA,74.0,195.0,4845.4907718342265,0,-1.1952606157597512,7.868332308562188,5.132031992305781
19430,Dillon Gabriel,4427238.0,UCF,offense,qb,HI,USA,71.0,186.0,4754.38906612345,0,-2.1590010538049142,7.610734652390727,5.11892434239216
13552,Juliano Falaniko,4259642.0,USC,defense,linebacker,AS,USA,76.0,200.0,4794.443962163029,0,-0.5475959965355967,7.837357507721824,5.1023430436696735
12000,Wayne Taulapapa,4370813.0,Virginia,offense,running_back,HI,USA,71.0,202.0,4762.41561113669,0,-1.9117026697453319,7.653404200548039,5.09919691268703
20590,Travon Killins,4429984.0,Hawai'i,defense,d_backfield,FL,USA,72.0,170.0,4750.353426328138,0,-2.126810839493216,7.601220928153675,5.096843693443924
17061,Samson Reed,4370810.0,Virginia,defense,d_line,HI,USA,75.0,252.0,4752.930319293463,0,-0.011574079435159838,7.828532172756925,5.027246222280408
3486,Kwamane Bowens,547174.0,Hawai'i,offense,pass_catcher,VA,USA,73.0,170.0,4687.646818823266,0,-1.8349589790056364,7.514479218596376,4.94360052515414
2728,Scott Pagano,546639.0,Clemson,defense,d_line,HI,USA,75.0,280.0,4568.34596571886,0,0.45801692796539445,7.546138934608577,4.843000239991336
14222,Michael Minihan,,Georgia Tech,offense,o_line,HI,USA,74.5,284.0,4492.040155249162,0,0.39424358443599583,7.4030385958078435,4.7243682411386425
18790,Enokk Vimahi,4426451.0,Ohio State,offense,o_line,HI,USA,76.5,263.0,4491.398201794018,0,0.6282874089213574,7.416781872428435,4.708235984518519
10912,Sean Auwae,,Vanderbilt,defense,d_line,HI,USA,76.0,285.0,4343.419239051825,0,0.8576841138939245,7.176610512455301,4.551537962100326
21696,Roman Wilson,4431492.0,Michigan,offense,pass_catcher,HI,USA,72.0,175.0,4444.919365566479,0,-1.992448924435623,7.0609883580376005,4.540618008652475
18017,Sean Queen,4365500.0,Liberty,defense,d_backfield,GA,USA,61.0,180.0,388.8333866838702,1,-4.245366312797125,-0.5073314530134188,4.504695991028225
23539,Lawaia Brown,,Central Michigan,defense,linebacker,HI,USA,71.0,190.0,4384.673284408521,0,-2.0282728135574972,6.953182202838293,4.464368741132241
13610,Myron Tagovailoa-Amosa,4258601.0,Notre Dame,defense,d_line,HI,USA,76.0,270.0,4331.858381584571,0,0.6265899992960234,7.129352622515394,4.4316514378088465
15354,Jonah Buchanan,4242649.0,Vanderbilt,defense,d_line,HI,USA,75.5,270.0,4332.169752959483,0,0.4864180999135463,7.116921529447642,4.39829293148771
22132,Faaope Laloulu,4432340.0,Oregon,offense,o_line,HI,USA,78.5,390.0,2530.841635397687,0,3.5268996521196048,4.168548599157294,4.367100530086402
6907,Micah Kapoi,-1043766.0,Wisconsin,offense,o_line,HI,USA,76.0,298.0,4163.894256132042,0,1.0931002285938038,6.876836425898609,4.365080473839343
4593,Chad Fahning,-1021345.0,Minnesota,offense,o_line,MN,USA,83.0,410.0,6.280283832128942,2,5.566870742473665,-0.21746339986848479,4.36294310893211
12122,Taeshon Trotter,-1026707.0,Ohio,offense,o_line,MI,USA,83.0,410.0,213.753795230978,2,5.52841279555931,0.15549746873294454,4.331575000040058
21450,Jordan Botelho,4429101.0,Notre Dame,defense,linebacker,HI,USA,75.0,230.0,4321.665495002237,0,-0.2737145048109575,7.014445973117001,4.19977393601472
19136,Marist Liufau,4427816.0,Notre Dame,defense,linebacker,HI,USA,75.0,210.0,4321.665495002237,0,-0.5846972671291036,6.979144998148626,4.190575847909485
13151,Tua Tagovailoa,4241479.0,Alabama,offense,qb,HI,USA,73.0,212.0,4318.650898953337,0,-1.1134969262243453,6.925292667635454,4.173554943111243
2792,Reeve Koehler,-1002258.0,Arkansas,offense,o_line,HI,USA,75.0,320.0,3923.195459014067,0,1.1995695930098182,6.456998169743007,4.1653321917478205
14350,Feleti Afemui,4242645.0,Vanderbilt,defense,linebacker,HI,USA,75.0,222.0,4269.650972744317,0,-0.3884660332194425,6.906822652223409,4.097104401178476
17804,Eric Rooks,4363652.0,Hawai'i,offense,pass_catcher,IL,USA,74.0,208.0,4247.863380044229,0,-0.8823437148791069,6.816964264178212,4.034804562007385
9794,J.R. Hensley,3914928.0,Hawai'i,offense,o_line,OK,USA,77.0,315.0,3739.038924880466,0,1.7164164710140168,6.1690906804277095,4.0034753753964285
6430,Daniel Lewis,3124570.0,Hawai'i,defense,d_backfield,LA,USA,71.0,185.0,4100.815639301494,0,-2.053401752373606,6.434085584381998,3.993050817324626
22392,Quin Bright,4430978.0,Hawai'i,athlete,athlete,TX,USA,68.5,167.0,3779.627139348641,0,-2.974320634249598,5.759982100847329,3.984553823683045
16230,Daniel Faalele,4360964.0,Minnesota,offense,o_line,FL,USA,80.0,400.0,1342.7623722987623,2,4.322959714628943,2.08944314224904,3.9496032153267904
21474,Nick Herbig,4429164.0,Wisconsin,defense,linebacker,HI,USA,74.0,215.0,4153.952872002025,0,-0.7560921989852889,6.660503141020927,3.86123455346848
15723,Nico Difronzo,,Air Force,offense,o_line,CA,USA,75.0,27.0,842.9876093700757,1,-2.785370796295025,0.40276098513470043,3.8477794856821803
16831,Justin Johnson,4373829.0,Oregon,offense,o_line,PA,USA,79.0,355.0,2441.051446788074,0,3.139437794289401,3.95835306754066,3.7702155304890423
19006,Julius Buelow,4426821.0,Washington,offense,o_line,HI,USA,80.0,331.0,2689.568217404857,0,3.0004209893228704,4.388715059708866,3.7296600949327505
